"Theta [deg]","dB(GainLHCP) [] - Freq='1.57666666666667GHz' Phi='90.0000000000002deg'","dB(GainRHCP) [] - Freq='1.57666666666667GHz' Phi='90.0000000000002deg'"
-180,-4.39180159096738,-12.0606579138625
-178,-4.82865749472635,-12.1639109221682
-176,-5.26774771079401,-12.2867943271865
-174,-5.70312103347598,-12.4133463840945
-172,-6.12765303682891,-12.5241422220561
-170,-6.53327684470294,-12.5978065923
-168,-6.91144718832108,-12.6139211281235
-166,-7.25385683991185,-12.556975273344
-164,-7.5533528654943,-12.4201558334983
-162,-7.80490852960166,-12.2073476737689
-160,-8.0064354069323,-11.9323590920272
-158,-8.15921925293573,-11.6158022310836
-156,-8.26785520821017,-11.2811284486496
-154,-8.33970992734988,-10.9513029428167
-152,-8.38407567779346,-10.6468300353635
-150,-8.41124033293024,-10.3850724344651
-148,-8.43166614397395,-10.1804432965339
-146,-8.45538661631905,-10.0450349534184
-144,-8.49164449360357,-9.98937963209576
-142,-8.54873588749677,-10.0231712347497
-140,-8.63400178900815,-10.1558562400356
-138,-8.75390908051684,-10.3970115014716
-136,-8.91417599361505,-10.7563490483465
-134,-9.11991227676908,-11.2429606969143
-132,-9.37575727799024,-11.8628760378203
-130,-9.68600820040031,-12.6128173123333
-128,-10.0547361902656,-13.4657834979703
-126,-10.4858904974203,-14.3419677498925
-124,-10.9833915080027,-15.0673354755689
-122,-11.5512124954423,-15.3724798777773
-120,-12.1934475780225,-15.0408843586089
-118,-12.9143592544623,-14.1199815432745
-116,-13.7183920676601,-12.8691866415137
-114,-14.6101276565573,-11.5348335745435
-112,-15.5941377683761,-10.257172501004
-110,-16.674661307933,-9.09526880380921
-108,-17.8549836681468,-8.06666793821679
-106,-19.1363279838994,-7.17126452229048
-104,-20.5159893039541,-6.40257614348339
-102,-21.9844127242959,-5.75257230543579
-100,-23.521111774807,-5.2136102912138
-98,-25.0900969083603,-4.77913765325042
-96,-26.6370871545154,-4.44388908218641
-94,-28.0919733084492,-4.20389093773964
-92,-29.376136302759,-4.05640763190993
-90,-30.4019572306912,-3.99988731593356
-88,-31.0478502716498,-4.03393192540952
-86,-31.1369903764998,-4.1593037231578
-84,-30.5193413123318,-4.3779763599595
-82,-29.2427478862942,-4.69323846911343
-80,-27.555402648097,-5.10985963872484
-78,-25.7212094767286,-5.6343304236303
-76,-23.9085632026267,-6.27518646840829
-74,-22.1977754044133,-7.04341273774774
-72,-20.6184901953691,-7.95287129629673
-70,-19.1763289879799,-9.02052896568105
-68,-17.8667993293329,-10.2657522636097
-66,-16.6817786690079,-11.7064007895499
-64,-15.6123641483657,-13.3449075561655
-62,-14.6500423452441,-15.1256543090051
-60,-13.7870975956038,-16.8295772984559
-58,-13.016680059862,-17.9532647101951
-56,-12.3327259281524,-17.9865914854128
-54,-11.7298175294979,-17.0881722153374
-52,-11.2030228920581,-15.846268606306
-50,-10.7477318391219,-14.6457696644003
-48,-10.3594951307388,-13.621905732571
-46,-10.0338681393156,-12.7983564551139
-44,-9.76625818330967,-12.1633759624616
-42,-9.55177368412985,-11.6973001546867
-40,-9.3850733795373,-11.3809821140176
-38,-9.26021511471598,-11.1978196370611
-36,-9.17050689538926,-11.1337392524745
-34,-9.1083689511057,-11.1765465749094
-32,-9.06522562840845,-11.3150608741964
-30,-9.03146044123558,-11.5381208455955
-28,-8.99648479292573,-11.8334491274943
-26,-8.94898465883225,-12.1863692675705
-24,-8.87740787451555,-12.5784664779476
-22,-8.77072169974493,-12.9864995171967
-20,-8.61939556361769,-13.3822062329041
-18,-8.41645853144939,-13.7339494664007
-16,-8.15838917956223,-14.0109888129382
-14,-7.84558023896935,-14.1899971339942
-12,-7.48221858511767,-14.2614739901452
-10,-7.07560131649315,-14.2326350131939
-8,-6.63508024489071,-14.1249532048528
-6,-6.17090545525512,-13.967840214036
-4,-5.69320412830389,-13.7918540453013
-2,-5.2112286992735,-13.6239826251775
0,-4.73290188704946,-13.485575795637
2,-4.26461497122092,-13.3922063038163
4,-3.81120708796253,-13.3544879464366
6,-3.37605504053039,-13.3791549846241
8,-2.96121921451023,-13.4700463125879
10,-2.56761013925595,-13.628865418965
12,-2.19515629844469,-13.8556995949391
14,-1.84296524907534,-14.1493221795273
16,-1.50947722401533,-14.507306926011
18,-1.19261404821324,-14.9259759847333
20,-0.889927246477779,-15.4001946210098
22,-0.598748318104273,-15.9230247765278
24,-0.316341826454933,-16.4852646249563
26,-0.0400587380037093,-17.0749436017058
28,0.23251598818089,-17.6769229479895
30,0.503430402600806,-18.2728681361345
32,0.774257421391941,-18.8419676464849
34,1.04602117830415,-19.3627567221444
36,1.31916470836853,-19.8161027897178
38,1.59356127235464,-20.1887745114748
40,1.86856637610182,-20.4763552322424
42,2.1431027668507,-20.6841847146389
44,2.41576742766362,-20.8258380234775
46,2.68494837019786,-20.9198567538048
48,2.94893978035266,-20.9861079634791
50,3.20604627303496,-21.0429077477683
52,3.45466993132933,-21.1053460984924
54,3.69337676409684,-21.1846702915283
56,3.92094174779075,-21.288350377545
58,4.13637350740742,-21.4204734778467
60,4.33892092669319,-21.582233011239
62,4.52806466857151,-21.7723943170639
64,4.70349688389719,-21.9876965186489
66,4.86509242667959,-22.2231938251298
68,5.01287477276168,-22.4725591467696
70,5.14697960819046,-22.7283787201559
72,5.26761873117325,-22.9824642932881
74,5.37504649912897,-23.2262020542896
76,5.46953055218679,-23.4509459903021
78,5.55132797233782,-23.6484485571007
80,5.62066742828158,-23.8113050956987
82,5.67773726183855,-23.9333735152584
84,5.72267895295409,-24.0101218427489
86,5.7555850131402,-24.0388577461038
88,5.7765001418883,-24.0188081796729
90,5.78542445262276,-23.9510416301917
92,5.78231772194387,-23.8382532687386
94,5.76710390119563,-23.6844557740027
96,5.739675498277,-23.4946287474326
98,5.69989782778547,-23.274375569393
100,5.64761347871804,-23.0296216475702
102,5.5826476109335,-22.7663686997732
104,5.50481483011107,-22.4905022765443
106,5.41392839024101,-22.2076381251455
108,5.30981233519471,-21.9229883105409
110,5.1923169343885,-21.6412291533879
112,5.06133742005934,-21.366357947219
114,4.91683562757401,-21.1015320880611
116,4.75886370631422,-20.8488914534948
118,4.58758863222191,-20.6093723390728
120,4.40331583283817,-20.3825295099438
122,4.20650984747419,-20.1663926736955
124,3.99780960984476,-19.9573949084802
126,3.77803569494233,-19.7504212640817
128,3.54818678006619,-19.5390306319025
130,3.3094227284014,-19.315894418195
132,3.0630322348933,-19.0734623112398
134,2.81038400031407,-18.8048056743766
136,2.55286199235121,-18.5045155225262
138,2.29178746832341,-18.1694760584538
140,2.02833285106465,-17.7993339354111
142,1.76343484525914,-17.3965546844121
144,1.49771578605032,-16.9660768528478
146,1.23142255260942,-16.5146856879056
148,0.964391089925208,-16.050281661366
150,0.696041693437662,-15.5812023762875
152,0.425406226725812,-15.1156947343903
154,0.15118423197472,-14.6615655981595
156,-0.128178571686085,-14.2259898672084
158,-0.414397864240443,-13.8154320588573
160,-0.709252960900807,-13.4356351371464
162,-1.01449074029267,-13.0916384940945
164,-1.33173558642575,-12.7877975473793
166,-1.66240647555154,-12.5277858609614
168,-2.00763930585079,-12.3145654458628
170,-2.36821017833514,-12.1503120918371
172,-2.74445391197124,-12.0362811411471
174,-3.13617183528812,-11.9725964373157
176,-3.54252407018931,-11.9579434386693
178,-3.96190446481523,-11.9891505719001
180,-4.39180159096737,-12.0606579138625
