"Freq [GHz]","re(Z(p1,p1)) []","im(Z(p1,p1)) []","re(Z(p2,p2)) []","im(Z(p2,p2)) []","re(Z(p2,p1)) []","im(Z(p2,p1)) []"
1.45,0.400057899942351,11.594880773032,0.406164439711131,11.6443092471576,0.0384607127843392,-0.715840256275506
1.452,0.412633235768106,11.6872646494379,0.418987659394012,11.7377375447122,0.040654151539866,-0.715151048357471
1.454,0.425862697441496,11.7820870259847,0.432479008428178,11.8336424521842,0.0427230317993159,-0.714396831766153
1.456,0.439790607254217,11.8794672745751,0.446683849431321,11.9321453994381,0.0446623907305416,-0.713576534921316
1.458,0.454465108177202,11.9795325980202,0.461651462374226,12.033375793969,0.0464671811504918,-0.712688852894468
1.46,0.46993856263854,12.0824186758035,0.477435454185782,12.1374716796232,0.0481322787817942,-0.711732217754295
1.462,0.486268000359217,12.188270373913,0.494094218840122,12.2445804607441,0.0496524920217356,-0.71070476643313
1.464,0.503515622229197,12.2972425261561,0.511691455124228,12.3548596993243,0.0510225747355003,-0.70960430602701
1.466,0.521749368339344,12.4095007953556,0.530296750454446,12.4684779937429,0.052237242667555,-0.708428276475301
1.468,0.541043559624759,12.5252226239404,0.549986240494603,12.5856159488174,0.0532911941569902,-0.707173710612819
1.47,0.561479624164176,12.6445982847416,0.570843355971007,12.7064672482155,0.0541791359446549,-0.705837191651435
1.472,0.58314692107111,12.7678320442819,0.59295967003338,12.8312398417903,0.0548958149719358,-0.704414808233579
1.474,0.606143677167145,12.8951434525611,0.616435861842499,12.9601572621508,0.0554360571922719,-0.702902107311761
1.476,0.63057805432687,13.02676877531,0.641382814856952,13.0934600867936,0.0557948145454749,-0.701294045252353
1.478,0.656569368623017,13.1629625869656,0.667922871641833,13.2314075644529,0.0559672213789643,-0.699584937745066
1.48,0.684249486302095,13.303999545258,0.696191271060206,13.3742794270185,0.0559486617350103,-0.697768409329815
1.482,0.71376442633379,13.4501763713491,0.726337798587016,13.5223779114883,0.0557348490529247,-0.695837343638743
1.484,0.745276204993911,13.6018140630042,0.758528686404518,13.6760300200355,0.0553219199512249,-0.693783835802648
1.486,0.77896496489496,13.7592603723796,0.792948807141569,13.8355900504571,0.0547065438453475,-0.691599148898023
1.488,0.815031439373451,13.9228925847664,0.829804213922337,14.0014424341237,0.0538860502058098,-0.68927367682369
1.49,0.853699813557212,14.0931206401569,0.869325090183621,14.1740049241813,0.0528585752493577,-0.686796916603917
1.492,0.895221056254759,14.2703906458983,0.911769186012653,14.3537321832742,0.0516232297556541,-0.684157453825954
1.494,0.939876812650494,14.4551888361139,0.957425834188774,14.5411198276036,0.0501802894822167,-0.681342965738662
1.496,0.987983967449775,14.648046042146,1.00662065951229,14.7367089928485,0.0485314092716001,-0.678340247464759
1.498,1.03990001262219,14.8495427481488,1.05972112044028,14.9410914974961,0.0466798613613477,-0.675135267804188
1.5,1.09602938456951,15.0603148172975,1.11714305390392,15.154915690607,0.0446307975668845,-0.671713262211381
1.502,1.15683097412807,15.2810599869931,1.17935843426312,15.3788930840884,0.0423915338533853,-0.668058871681938
1.504,1.22282706157124,15.5125452460325,1.24690460801929,15.6138058842264,0.0399718542862933,-0.664156337434295
1.506,1.29461399068701,15.7556152229546,1.32039533026784,15.8605155535018,0.0373843293962658,-0.659989762348019
1.508,1.37287497501062,16.0112017325024,1.40053401103576,16.1199725513437,0.034644641567884,-0.655543451028716
1.51,1.45839553063491,16.2803346458726,1.48812968508619,16.3932274209167,0.0317719071371233,-0.650802340993969
1.512,1.55208216070142,16.5641542692285,1.58411635478188,16.6814434072001,0.0287889814660642,-0.645752537681221
1.514,1.65498508610227,16.8639254320426,1.68957653200543,16.9859108075529,0.0257227294038938,-0.640381965626024
1.516,1.76832603780215,17.1810534991842,1.80577003518955,17.3080632662845,0.0226042393448865,-0.634681147119301
1.518,1.89353241576871,17.5171025230894,1.93416939922663,17.6494962238152,0.0194689547214718,-0.628644117840218
1.52,2.03227950131443,17.8738157362869,2.07650365395704,18.0119877094831,0.0163566924438428,-0.622269486379915
1.522,2.18654291596304,18.2531385359456,2.23481275474928,18.3975216096554,0.0133115137664572,-0.615561641370016
1.524,2.35866419514895,18.6572440080211,2.41151565267228,18.8083134247066,0.0103814095470147,-0.608532106474309
1.526,2.55143325041271,19.0885608416573,2.6094959357876,19.2468383092484,0.00761775894945781,-0.601201040452196
1.528,2.76819271396974,19.5498031339088,2.83221024532324,19.7158608040658,0.00507451810111472,-0.593598877883561
1.53,3.01297081161717,20.0440009812086,3.0838263925342,20.218465008389,0.00280709223295602,-0.585768107395969
1.532,3.29065165489985,20.5745297343913,3.36940044075811,20.7580828318991,0.000870839612420721,-0.577765190206403
1.534,3.60719490070198,21.1451340899882,3.69510519901848,21.3385161182059,-0.000680855252773073,-0.569662634642501
1.536,3.96992088950648,21.7599403569164,4.06852689950421,21.9639453667386,-0.00179902391783074,-0.561551264248472
1.538,4.3878830215919,22.423445532448,4.49905268578244,22.6389127003157,-0.00244219983576151,-0.553542749785644
1.54,4.87235672012568,23.1404639994547,4.99837937477717,23.3682582939146,-0.00258035535083167,-0.545772518883809
1.542,5.43748433011234,23.9159996188639,5.5811842133208,24.1569754440005,-0.00220003789544259,-0.538403207149555
1.544,6.10112797855022,24.7549891845877,6.26601120445857,25.0099260124178,-0.00131129355478465,-0.531628857832726
1.546,6.88599726225501,25.6618266222464,7.07644128083597,25.9313187031001,4.26323043836618E-05,-0.525680080084099
1.548,7.82113292736203,26.6395158404365,8.04262787668082,26.923786769637,0.00177116802655757,-0.520830260505957
1.55,8.94383320992306,27.6881970813031,9.20328175114695,27.9867916556919,0.00371514997635049,-0.517402514605415
1.552,10.302084797116,28.802620428115,10.6081559568969,29.1138970347941,0.00561404419636935,-0.515775980667613
1.554,11.9574539578286,29.9678622091581,12.3209560288159,30.2881644611706,0.00705483878973941,-0.516387473820882
1.556,13.9880880177065,31.15215099681,14.422252111632,31.4744755307056,0.00739269233584107,-0.519718716641878
1.558,16.490720455848,32.2950794642479,17.0111233419289,32.6069902199571,0.00563111504520103,-0.526247001996769
1.56,19.5788647753617,33.2888969390873,20.2023867410445,33.5694270727583,0.000253668340778957,-0.536312620005593
1.562,23.3708915712909,33.9507894090586,24.1125049791389,34.1663203899155,-0.0109727085526742,-0.549813902391437
1.564,27.9556140989026,33.9874930100926,28.8209740027484,34.0876080750658,-0.031108034318791,-0.565589388924123
1.566,33.3159275243182,32.9659530136769,34.2874560776169,32.882911874757,-0.0637161198173557,-0.580365546381851
1.568,39.1943262872125,30.3330715458342,40.2114954664003,29.9931535602912,-0.111392072093692,-0.587503796487143
1.57,44.9301057307868,25.5676189041852,45.8756472171319,24.9246560652164,-0.172431141430855,-0.576897515058245
1.572,49.419218233329,18.5289492230342,50.1390780280485,17.6153892134206,-0.236846143348194,-0.538735988624044
1.574,51.4432612702931,9.85535719097737,51.8183686173868,8.80743732495442,-0.287076671132365,-0.471777039706201
1.576,50.3571937393587,0.95667933636238,50.3807331893095,-0.0386028659631137,-0.307855363855325,-0.388636659282298
1.578,46.5503217396182,-6.64707004732329,46.3263610055622,-7.45210617464123,-0.297239790931087,-0.308806338198702
1.58,41.1526233187645,-12.0902260304149,40.8187547011197,-12.6665466002927,-0.265667218130602,-0.245725758457415
1.582,35.3361828968841,-15.3355810998514,34.9954768914759,-15.7171157220821,-0.226048190225223,-0.202130126698296
1.584,29.8778077787081,-16.8331382224186,29.5823841997993,-17.077461117669,-0.187000767116114,-0.174271132439344
1.586,25.127130321538,-17.1372883262271,24.892541472736,-17.2958227329782,-0.152283685080906,-0.157038999620434
1.588,21.1547217740111,-16.7095879586736,20.9780572777871,-16.8188531548133,-0.122719234824516,-0.146341518106071
1.59,17.8967721861433,-15.8739312842778,17.7684649149815,-15.9569744134941,-0.0978803569035716,-0.13947800679241
1.592,15.2439458070315,-14.8374617131395,15.1535293667645,-14.9078226728766,-0.0769914633038341,-0.13481577746616
1.594,13.0841481853086,-13.7251402838898,13.0224590155299,-13.7903593370272,-0.0592942158814911,-0.131404987423606
1.596,11.3189490403486,-12.6089461642439,11.2786602293563,-12.6729990027398,-0.0441570540463203,-0.128700011269634
1.598,9.86753409976032,-11.5282735273339,9.8430360847571,-11.5930973169915,-0.0310849173836832,-0.126387009521765
1.6,8.66562307745437,-10.5030433828103,8.65271224371502,-10.5694451686458,-0.0196981603958667,-0.124283793168674
1.602,7.66281142902294,-9.54179397772517,7.6583691518206,-9.60997598109328,-0.00970671424063918,-0.122283089002207
1.604,6.81976661350269,-8.64656688128511,6.821487930292,-8.71642439340923,-0.000887681806262395,-0.120320580149501
1.606,6.10578143883989,-7.81582134531151,6.11196333891468,-7.8871086836489,0.00693205600901711,-0.118356836213547
1.608,5.49679733975567,-7.04615623091973,5.50617973095897,-7.11857713425168,0.0138887491737824,-0.116367012183194
1.61,4.97386445598318,-6.33331648454192,4.98551288907714,-6.40657163634114,0.0200911886966399,-0.114334916929695
1.612,4.52196277975218,-5.67277191533628,4.53518267152283,-5.74658238343643,0.0256275342321634,-0.11224956247765
1.614,4.12910638936083,-5.06004094246406,4.14338043274497,-5.13415828318523,0.0305702795139014,-0.110103136931367
1.616,3.78566393786218,-4.49086284545886,3.80060638351628,-4.56507199831612,0.0349798861373087,-0.107889803261707
1.618,3.48384230100565,-3.96128067026521,3.49916546009116,-4.03539911688994,0.0389074653795164,-0.105604981991066
1.62,3.21729272108385,-3.4676721531456,3.23278231826663,-3.54154729207845,0.0423967766995612,-0.10324491990751
1.622,2.98080887354238,-3.00675112681047,2.99630582346382,-3.08025694289883,0.0454857325162898,-0.100806429093145
1.624,2.77009406757843,-2.57555288541446,2.78548093114601,-2.64858649298212,0.0482075433963618,-0.0982867279658384
1.626,2.58158064477759,-2.17141154317586,2.59677151097595,-2.24388989784486,0.0505915990403758,-0.0956833437141072
1.628,2.4122889834977,-1.79193411799048,2.42722187167532,-1.86379103206205,0.0526641533627268,-0.0929940518332819
1.63,2.25971672164326,-1.43497406474219,2.27434784846554,-1.50615757283868,0.0544488629366644,-0.0902168381882503
1.632,2.12175117169538,-1.09860576652379,2.13605060520165,-1.16907584129264,0.0559672146368232,-0.0873498748517173
1.634,1.99659964359464,-0.781100758917532,2.01054799473527,-0.85082735328131,0.0572388687507966,-0.0843915044742349
1.636,1.88273367964763,-0.480906025925574,1.89631957392168,-0.549867408321552,0.0582819369780941,-0.0813402300597089
1.638,1.77884416281981,-0.196624451519514,1.79206230147885,-0.26480579781736,0.059113209783995,-0.0781947082976861
1.64,1.68380497420852,0.0730026324429593,1.69665464319511,0.0056104255941747,0.05974834397115,-0.0749537453712007
1.642,1.59664341151727,0.329110936618936,1.60912733198432,0.262512249360552,0.0602020186868336,-0.0716162946156742
1.644,1.51651598472644,0.572726912223237,1.52863942526888,0.506922238695507,0.0604880661281782,-0.0681814556715872
1.646,1.44268851192386,0.804779836621262,1.45445860212448,0.739766486789345,0.0606195817510879,-0.064648474925581
1.648,1.37451967229324,1.02611246323015,1.38594487168585,0.961885150758212,0.0606090176957297,-0.0610167471168405
1.65,1.31144735280846,1.23749040196029,1.32253704022013,1.17404173635305,0.0604682623159679,-0.0572858180259881
1.652,1.25297726369443,1.43961038236982,1.26374142009985,1.37693128077675,0.0602087080723838,-0.053455388179446
1.654,1.19867340515477,1.63310753641515,1.20912236935639,1.5711875680527,0.0598413095682526,-0.0495253175037773
1.656,1.14815005164442,1.8185618224835,1.15829433278931,1.75738949654933,0.0593766331383283,-0.0454956308582234
1.658,1.10106498563652,1.99650369801867,1.11091512016593,1.93606670420956,0.0588248991145794,-0.0413665243633299
1.66,1.0571137645668,2.16741913485403,1.066680207944,2.10770454411694,0.0581960176712226,-0.0371383724314548
1.662,1.01602484559618,2.33175405948901,1.02531789127477,2.27274849139051,0.0574996189787476,-0.0328117353923652
1.664,0.977555425410913,2.48991828999191,0.986585145142036,2.43160805205205,0.0567450782620745,-0.0283873675948122
1.666,0.941487878314121,2.64228903192355,0.950264079160248,2.5846602353906,0.0559415362532471,-0.0238662258533712
1.668,0.907626696759317,2.78921398754894,0.916158891170705,2.73225264336652,0.0550979154478504,-0.0192494780991549
1.67,0.875795855322633,2.93101412552856,0.884093241404581,2.87470622364148,0.0542229325118944,-0.0145385120834586
1.672,0.845836532747766,3.06798615213405,0.853907982451781,3.01231772677372,0.0533251071385359,-0.00973494397511599
1.674,0.817605137782193,3.20040471970764,0.825459191229047,3.14536190287588,0.0524127676188901,-0.00484062668541764
1.676,0.790971593567079,3.32852440347324,0.798616458085343,3.27409346849103,0.0514940533660619,0.000142342250911405
1.678,0.765817842751989,3.45258147381789,0.773261395510118,3.39874887050988,0.0505769146146292,0.00521161341386374
1.68,0.742036541594714,3.57279548771091,0.749286334939881,3.51954787054987,0.049669109507677,0.0103645790324387
1.682,0.719529916330861,3.68937071994049,0.726593185132914,3.63669497026858,0.0487781987789039,0.0155983674917899
1.684,0.698208759256295,3.80249745226226,0.705092429703071,3.75038069553207,0.0479115382372516,0.0209098389874818
1.686,0.677991545419932,3.9123531363129,0.684702244827114,3.86078275514513,0.0470762692650417,0.0262955824961584
1.688,0.658803653702006,4.01910344419871,0.665347720994561,3.96806708793018,0.0462793075468947,0.0317519142244066
1.69,0.640576678458636,4.12290321898136,0.646960175055288,4.07238881027383,0.0455273302549906,0.0372748776873462
1.692,0.623247819930106,4.22389733581709,0.629476540821528,4.17389307480968,0.044826761925777,0.0428602455554241
1.694,0.606759343305709,4.32222148322858,0.612838828164914,4.27271584964294,0.044183759273327,0.048503523391959
1.696,0.591058097767677,4.41800287287747,0.596993641968605,4.36898462642233,0.0436041951945371,0.0541999553852602
1.698,0.576095088045999,4.51136088523423,0.581891753496538,4.46281906460342,0.0430936422305656,0.0599445321576154
1.7,0.561825092040252,4.60240765769518,0.567487717760166,4.55433157840814,0.0426573557567427,0.0657320007094176
1.702,0.548206318936581,4.69124862095415,0.553739531329334,4.64362787225035,0.0423002571790296,0.0715568765302854
1.704,0.535200102989911,4.77798298878656,0.540608325773273,4.73080742975274,0.0420269174184579,0.0774134578806591
1.706,0.52277062877663,4.86270420583371,0.52805809254824,4.81596396091573,0.041841540965339,0.0832958422173673
1.708,0.510884684265928,4.94550035747369,0.516055435689706,4.89918581150133,0.0417479507820066,0.0891979447055857
1.71,0.499511438525269,5.02645454542472,0.504569349131996,4.98055633825804,0.041749574326126,0.0951135187279647
1.712,0.488622241276735,5.1056452323381,0.49357101587757,5.06015425322719,0.0418494309559291,0.101036178270099
1.714,0.478190441867894,5.18314655829502,0.483033626584281,5.13805394003041,0.0420501209640231,0.106959422030627
1.716,0.468191225520363,5.25902863181833,0.472932215436957,5.21432574473721,0.0423538164676417,0.112876659074667
1.718,0.458601464979163,5.33335779774182,0.463243511428862,5.2890362436448,0.0427622543604954,0.118781235821799
1.72,0.449399585911364,5.40619688404188,0.453945803403536,5.36224849006602,0.0432767315049578,0.12466646413494
1.722,0.440565444599084,5.4776054295245,0.445018817403127,5.43402224201084,0.0438981023135464,0.130525650254916
1.724,0.432080216642862,5.54763989407274,0.436443605040356,5.50441417245992,0.0446267788359886,0.136352124307814
1.726,0.42392629554132,5.61635385299212,0.428202441760196,5.57347806376232,0.0454627334331591,0.142139270098837
1.728,0.416087200143608,5.68379817684125,0.420278733988354,5.64126498753997,0.0464055040824771,0.147880554897691
1.73,0.408547490085992,5.75002119800211,0.412656934277803,5.70782347134899,0.0474542023216768,0.153569558916825
1.732,0.401292688424738,5.81506886512299,0.405322463665213,5.77319965322792,0.0486075237999519,0.159200004185242
1.734,0.39430921076551,5.87898488646112,0.398261640537678,5.83743742515656,0.0498637613681079,0.164765782527126
1.736,0.387584300267783,5.94181086305427,0.391461615387546,5.90057856635248,0.0512208206032981,0.170260982366048
1.738,0.381105967970796,6.00358641256391,0.384910310901547,5.96266286724552,0.0526762376299106,0.175679914091814
1.74,0.374862937948097,6.0643492845547,0.378596366891005,6.02372824489336,0.054227199066901,0.181017133747681
1.742,0.368844596850721,6.12413546790348,0.372509089622453,6.08381085052991,0.0558705639039536,0.186267464820243
1.744,0.363040947445907,6.1829792909681,0.366638405155244,6.14294516987538,0.0576028870848054,0.191426017942211
1.746,0.357442565799505,6.24091351508862,0.360974816333561,6.20116411677958,0.0594204445563403,0.196488208348935
1.748,0.352040561786217,6.29796942194078,0.35550936311695,6.25849912071761,0.0613192595268867,0.201449770962059
1.75,0.346826542644609,6.35417689521559,0.350233585965027,6.31498020861084,0.0632951296668032,0.206306773007592
