"Theta [deg]","dB(GainTheta) [] - Freq='1.575GHz' Phi='90.0000000000002deg'","dB(GainPhi) [] - Freq='1.575GHz' Phi='90.0000000000002deg'"
-180,-1.85651085822116,-46.0369289816043
-178,-2.27238167419526,-45.9621278167219
-176,-2.67542319597282,-45.8719618582376
-174,-3.04832764692762,-45.7590348507949
-172,-3.37182127221705,-45.6064856243555
-170,-3.62704178792758,-45.3979690569005
-168,-3.79896063130546,-45.1274530509961
-166,-3.87992970225028,-44.8046793339277
-164,-3.87192836476144,-44.454061555687
-162,-3.78642440214856,-44.1086930739344
-160,-3.64191178003225,-43.8034450506944
-158,-3.46029051596872,-43.5701827342988
-156,-3.26350241143924,-43.4357949159516
-154,-3.07128244389235,-43.4222197136609
-152,-2.90015630397679,-43.5473624691472
-150,-2.76337548612906,-43.8261013200528
-148,-2.67138462053875,-44.2708975138414
-146,-2.6325043544697,-44.8916408722841
-144,-2.65364111303082,-45.6941968663071
-142,-2.7409343944221,-46.6765964966733
-140,-2.90030991200915,-47.8207938712878
-138,-3.13793066038333,-49.0766532147634
-136,-3.46053614330396,-50.3360541749335
-134,-3.87563221405955,-51.4091124422561
-132,-4.39142423914775,-52.0519866300954
-130,-5.01622932842509,-52.0944688547335
-128,-5.75675485395031,-51.5596176626293
-126,-6.61387788052051,-50.6087778735734
-124,-7.57309360797371,-49.409814274065
-122,-8.58485923395774,-48.0845708843429
-120,-9.53208601324285,-46.7175727959721
-118,-10.205674328573,-45.3703120935185
-116,-10.365238400498,-44.0874872072637
-114,-9.92245018526999,-42.8998545062463
-112,-9.03251005146822,-41.8271493944941
-110,-7.94403553851982,-40.8813778081108
-108,-6.84198718337112,-40.0698730442586
-106,-5.82223945966911,-39.3977526731692
-104,-4.92365590674485,-38.8697567190222
-102,-4.15725059725772,-38.4916282479199
-100,-3.52235959953893,-38.2712536225062
-98,-3.01427715062131,-38.2197943930458
-96,-2.62762620864081,-38.3530758045879
-94,-2.35778952263955,-38.6936006410895
-92,-2.20150036304072,-39.2738177080031
-90,-2.1570909890296,-40.14189863537
-88,-2.22462376938765,-41.3728465186104
-86,-2.40600805799698,-43.0921298235935
-84,-2.7051498143503,-45.5330489766109
-82,-3.12814814819867,-49.2015908488048
-80,-3.68351410499308,-55.3474446685761
-78,-4.38230061083665,-58.7849844772731
-76,-5.23780203035666,-51.7802541001028
-74,-6.26384741933584,-47.6725441067612
-72,-7.46896830696677,-45.2193063756174
-70,-8.83917229038971,-43.699262004377
-68,-10.2927216281663,-42.8077246109347
-66,-11.5899338171006,-42.3841144418055
-64,-12.2839857643088,-42.3125837247377
-62,-12.0226529601026,-42.4662300404967
-60,-10.9945980064268,-42.6655868405682
-58,-9.67113345217235,-42.6789661412494
-56,-8.36637471335459,-42.3238630815981
-54,-7.20280330257324,-41.6092062230367
-52,-6.20884337970223,-40.7179745758124
-50,-5.37909614023818,-39.8553580071046
-48,-4.69877258524625,-39.1598999801972
-46,-4.1522357744804,-38.7056448712233
-44,-3.72560861357823,-38.5300066789382
-42,-3.40728760637841,-38.6555486758991
-40,-3.18774515297734,-39.1028401532005
-38,-3.0590982135586,-39.8979613817898
-36,-3.01459043989083,-41.0768259216561
-34,-3.04801056739018,-42.6836812619537
-32,-3.15301991582996,-44.7442700822721
-30,-3.32234101579993,-47.1272080525302
-28,-3.54675832834064,-49.0939614988009
-26,-3.81391355416708,-49.2921537799375
-24,-4.10697630099419,-47.9633795095975
-22,-4.40348580437111,-46.4523337171576
-20,-4.67501411655008,-45.3140647420648
-18,-4.88866862873591,-44.6194393467542
-16,-5.01138730897144,-44.3305591391056
-14,-5.01684011606936,-44.4016072429044
-12,-4.89258669643526,-44.7972626390176
-10,-4.64371244338602,-45.4935521493624
-8,-4.29065509476302,-46.475479494659
-6,-3.86260545622027,-47.7334193764327
-4,-3.39018542619287,-49.2554962354478
-2,-2.90031212519309,-51.0058231341606
0,-2.41394920352753,-52.8616216422279
2,-1.94596648972072,-54.475688217619
4,-1.50603464662273,-55.2228840405858
6,-1.09979292853809,-54.7549049332507
8,-0.729910156822436,-53.5068251613335
10,-0.396913119964293,-52.0641404352773
12,-0.0997817858158223,-50.7163305952238
14,0.163642961252097,-49.5535991210972
16,0.396384458217335,-48.5925534885146
18,0.602138936260197,-47.8286677035436
20,0.785127362653955,-47.2530272830981
22,0.949959230104222,-46.8569737696961
24,1.10148594957221,-46.6330979669434
26,1.2446307312921,-46.5751733956861
28,1.38419195033722,-46.6776874936724
30,1.52462773787322,-46.9349629995284
32,1.66983955458234,-47.3395297629274
34,1.82297949533605,-47.8790811702335
36,1.98630762646175,-48.5309591535269
38,2.16112044917556,-49.2529863895984
40,2.34776041604919,-49.9710870481611
42,2.54570232906771,-50.5709804596687
44,2.75369959526508,-50.9140056365075
46,2.96996529531917,-50.8945626446562
48,3.19236141841325,-50.5048805486173
50,3.41857369545398,-49.8334199160647
52,3.64625691946684,-48.9992331692606
54,3.87314382865076,-48.0967396635583
56,4.09711753137847,-47.182634331252
58,4.31625209278317,-46.286289919409
60,4.52882821257858,-45.4235208430344
62,4.73333138515301,-44.6062313340194
64,4.92843921038447,-43.8473156999287
66,5.11300322148014,-43.1621665926776
68,5.28602915208426,-42.5683790657365
70,5.44665823907722,-42.0849247004012
72,5.59415106914244,-41.7315918736598
74,5.72787465314198,-41.5290642550172
76,5.8472928291368,-41.4997693392482
78,5.95195970820865,-41.6695987244429
80,6.04151563939995,-42.0707621686334
82,6.11568503846329,-42.7463971674967
84,6.17427536508286,-43.7581742035268
86,6.2171765184943,-45.1988284850017
88,6.24435993368932,-47.2088768964526
90,6.25587668955331,-49.9550807715592
92,6.25185398540429,-53.1235895248471
94,6.23248941296019,-53.680136214817
96,6.19804256725124,-50.6071544879534
98,6.14882373250541,-47.5121395637635
100,6.08517968253602,-45.181549358831
102,6.00747708062641,-43.4836064306181
104,5.91608456545966,-42.2710696662136
106,5.81135534946042,-41.4492968789654
108,5.6936129704264,-40.9618618347197
110,5.56314360958337,-40.7773936960234
112,5.42019895208938,-40.8820789815453
114,5.26501371841918,-41.2759787865554
116,5.09784152816237,-41.9717001217489
118,4.91901148390482,-42.9942548275808
120,4.72900563796298,-44.3796729819375
122,4.52855424217165,-46.1629625484155
124,4.31874137029281,-48.3162183660681
126,4.10110826743709,-50.5065603047866
128,3.87773602019498,-51.6763005613425
130,3.65128377866111,-51.0003616696107
132,3.42495554245506,-49.4183208291322
134,3.20237013726707,-47.9007098861433
136,2.98731863170103,-46.7095938267876
138,2.7834132651267,-45.8323719905439
140,2.59366074240176,-45.1971934563284
142,2.42002362748679,-44.7282289451885
144,2.26305437010826,-44.3606661701107
146,2.12168459154713,-44.0483908864768
148,1.99322250030662,-43.7687036461222
150,1.87356171678035,-43.5217668468552
152,1.7575541371038,-43.3241509740109
154,1.63946715229042,-43.1994802705807
156,1.51344095482267,-43.1700763736562
158,1.37388090055732,-43.2514575878668
160,1.21575078353469,-43.4492661239504
162,1.03476304733986,-43.757313638444
164,0.827484080389533,-44.1558396580108
166,0.591385283502056,-44.6102587355436
168,0.32487565212065,-45.0723267899015
170,0.0273522887651154,-45.486904494989
172,-0.30069617044723,-45.8058750228048
174,-0.657501327939622,-46.0043920229746
176,-1.03971695372148,-46.0885324475816
178,-1.44200205698487,-46.0876233785169
180,-1.85651085822115,-46.0369289816043
