"Phi [deg]","dB(GainTheta) [] - Freq='1.608GHz' Theta='90.0000000000002deg'","dB(GainPhi) [] - Freq='1.608GHz' Theta='90.0000000000002deg'"
-180,-7.47478731420404,-26.2531785491625
-178,-8.09804224417038,-26.1629859541739
-176,-8.77589522293237,-26.1357511603609
-174,-9.51682361200195,-26.1705737331897
-172,-10.329202052154,-26.2626115958264
-170,-11.220686193905,-26.4033502678439
-168,-12.1971250384687,-26.5809860121378
-166,-13.2605971075404,-26.7811737168413
-164,-14.4059034098819,-26.9883611932146
-162,-15.6146321345885,-27.1877459792924
-160,-16.8463517773836,-27.3675345206763
-158,-18.0293609786683,-27.5208005854837
-156,-19.0610380842684,-27.6461238238659
-154,-19.8352398727183,-27.7465505090659
-152,-20.2978079670477,-27.8271104498082
-150,-20.4852258576051,-27.8917197415852
-148,-20.5009530426124,-27.9404995372044
-146,-20.456231351499,-27.9684041719325
-144,-20.4285464681363,-27.9657737289803
-142,-20.4475304122956,-27.9210149814888
-140,-20.4904571282693,-27.8249047940285
-138,-20.4767588344457,-27.6750767191076
-136,-20.2726511790219,-27.4787462663368
-134,-19.7364038365865,-27.2523991476577
-132,-18.8063555610419,-27.0187809998749
-130,-17.5495225837304,-26.8028193057363
-128,-16.1082016013513,-26.6281615430932
-126,-14.615916004323,-26.5151596646496
-124,-13.1605258615833,-26.4802584705268
-122,-11.7883848821796,-26.5363330239598
-120,-10.5194337824877,-26.6935105247446
-118,-9.35932575545393,-26.9601720367621
-116,-8.3067183749842,-27.3439996799415
-114,-7.35717735996391,-27.8530636589208
-112,-6.50515073994069,-28.4970403786179
-110,-5.7449303566336,-29.288752011787
-108,-5.07110190704379,-30.2463711515026
-106,-4.47874302606456,-31.3969361002402
-104,-3.96350064331464,-32.7824912147565
-102,-3.52161302492996,-34.4717916093384
-100,-3.14990850132339,-36.5848734288498
-98,-2.84579599132049,-39.3506891615145
-96,-2.60725395495145,-43.2532198443487
-94,-2.43282024712636,-49.0680079848015
-92,-2.32158342585463,-49.8249336506417
-90,-2.27317532318703,-43.9483880071376
-88,-2.28776455051103,-39.944444707396
-86,-2.3660507713638,-37.1419386928225
-84,-2.50925985096029,-35.0059453316653
-82,-2.71914025952863,-33.2841589150652
-80,-2.99796126331923,-31.8456188629783
-78,-3.34851336195586,-30.6165622241666
-76,-3.77411093340379,-29.5532618944428
-74,-4.27859577996895,-28.6291045543226
-72,-4.86633755742009,-27.8278069771246
-70,-5.54222159208098,-27.1395711179322
-68,-6.31160373198438,-26.5587747214157
-66,-7.18019045014204,-26.0825224658419
-64,-8.15376016352504,-25.7097059431596
-62,-9.23755873206764,-25.4403755388467
-60,-10.4350417180372,-25.2753050900565
-58,-11.7453405237872,-25.2156688554928
-56,-13.1583520470521,-25.2627656422669
-54,-14.6458639373741,-25.4177223053945
-52,-16.1478088655223,-25.6810872791124
-50,-17.5584254841727,-26.0521781933743
-48,-18.7324883032613,-26.5279664092517
-46,-19.5411565065683,-27.1011612227728
-44,-19.9574109968555,-27.7570332088631
-42,-20.0757723301377,-28.4685702400793
-40,-20.0377847861613,-29.19034216846
-38,-19.9537704271039,-29.8540247530869
-36,-19.8754902516245,-30.3732104741139
-34,-19.800200038387,-30.6666785391145
-32,-19.6819212113266,-30.6955823156513
-30,-19.4469514078805,-30.4859876480958
-28,-19.0207202370329,-30.1135532736409
-26,-18.3634127642747,-29.666618241857
-24,-17.4918239805721,-29.2189471113669
-22,-16.4681673595114,-28.8217613358994
-20,-15.3683898079096,-28.5071008375974
-18,-14.2568224591393,-28.2939289879724
-16,-13.1773539321477,-28.1931312151748
-14,-12.1554340532857,-28.2105898070579
-12,-11.203369387981,-28.3484999069475
-10,-10.3251317502351,-28.605112226996
-8,-9.51973843322651,-28.9728024232144
-6,-8.78337494452876,-29.4340770007427
-4,-8.1106531164508,-29.9552126808174
-2,-7.49533442399993,-30.4786600785652
0,-6.93074214400219,-30.9197196925099
2,-6.41000222372557,-31.1793345783069
4,-5.92619764731874,-31.1814291952704
6,-5.47248703820535,-30.9156097593204
8,-5.04221712782661,-30.443563732759
10,-4.62904477957978,-29.8617624760674
12,-4.22707394303435,-29.2591906367604
14,-3.83100442983728,-28.6981701322106
16,-3.43628228478863,-28.21463999092
18,-3.03923627799891,-27.8252308237269
20,-2.63718267239204,-27.5340180582696
22,-2.22848181124172,-27.3371303679316
24,-1.8125353548205,-27.225504267711
26,-1.3897211831358,-27.1864953449525
28,-0.961272102091528,-27.2049622899767
30,-0.529112238113032,-27.2642655744709
32,-0.0956695833288056,-27.3474497183163
34,0.336316130788992,-27.4386884196824
36,0.763973700126573,-27.5248601085329
38,1.18445704166974,-27.5969408828939
40,1.59507160318253,-27.6508476853874
42,1.99336877593083,-27.6874954373586
44,2.3772099336664,-27.7120917619956
46,2.74480374822224,-27.7329320291315
48,3.0947212536016,-27.7600492613581
50,3.4258931110527,-27.8040074011751
52,3.73759304622606,-27.8749867807976
54,4.029410794758,-27.9821889636044
56,4.3012173112605,-28.1335258928108
58,4.55312457503134,-28.3355490725611
60,4.78544208696943,-28.593593285185
62,4.99863205874549,-28.9121344946263
64,5.19326527260341,-29.2953814186284
66,5.36997954942911,-29.7481314789801
68,5.52944262284901,-30.2769282365276
70,5.67232092396219,-30.8915724856132
72,5.79925532092891,-31.607093147895
74,5.91084426037943,-32.4464369290218
76,6.0076340911889,-33.4445099366929
78,6.09011570407408,-34.655094880503
80,6.15872608032433,-36.1644433319716
82,6.21385297642431,-38.1220998220249
84,6.25584081154549,-40.824490304356
86,6.28499586995927,-45.0156069122377
88,6.30158915173268,-53.8422511504845
90,6.30585556153064,-54.4915822511734
92,6.29798857770844,-44.9910605018402
94,6.2781300637764,-40.5067052749669
96,6.24635545518321,-37.5867982404678
98,6.20265516421434,-35.4521856821621
100,6.14691367494071,-33.7989492140594
102,6.07888840894138,-32.4751746072001
104,5.99819096503272,-31.3924144079092
106,5.90427368453808,-30.4932520808513
108,5.7964245742371,-29.7372097433522
110,5.6737733584117,-29.0939606723177
112,5.53531080213593,-28.5398884109763
114,5.37992248662674,-28.0563357698704
116,5.20643702366072,-27.6287402857513
118,5.01368741121164,-27.246201923829
120,4.80058300370885,-26.9011959055866
122,4.56618851175633,-26.5892527060835
124,4.30980561203686,-26.3085218729256
126,4.0310521286959,-26.0592191305274
128,3.72993329086197,-25.8430136811789
130,3.40689922645286,-25.6624342095171
132,3.06288262484106,-25.5203603390444
134,2.69931050061964,-25.4196346703406
136,2.31808446000332,-25.3627949306125
138,1.92152516398354,-25.3518970994388
140,1.51227917041857,-25.3883824101818
142,1.09319023505235,-25.4729324450759
144,0.667142281408488,-25.6052539149635
146,0.236886839200685,-25.7837361304266
148,-0.195127591969782,-26.004931476903
150,-0.626904791637694,-26.262831159602
152,-1.05701128684555,-26.5479643607494
154,-1.4846371693552,-26.8464693602821
156,-1.90960623884324,-27.1394980210704
158,-2.33234514092864,-27.4035931669254
160,-2.7538296880615,-27.6128388698173
162,-3.1755304472067,-27.7432354784717
164,-3.5993779132443,-27.7785721308223
166,-4.02776077982401,-27.7155209458356
168,-4.46356090650016,-27.5652488742764
170,-4.91021816614945,-27.3505579752566
172,-5.37181001103429,-27.1001776951877
174,-5.85312622644011,-26.842990687475
176,-6.35971966781158,-26.6040823715047
178,-6.89791800543725,-26.4029407280584
180,-7.47478731420404,-26.2531785491625
